date_week,criteo_cost,emails_delivered,emails_campaigns_collab_delivered,google_ads_cost__converted_,sales_sales,youtube_organic_impressions,youtube_organic_views,events_events,facebook_ads_amount_spent__eur_,email_sales_events_delivered,emails_bau_performance_delivered,ecommerce_revenue,facebook_ads_conversions_cost,facebook_ads_brand_awareness_cost,facebook_ads_performance_engagement_cost,google_ads_video_cost,google_ads_shopping_cost,google_ads_search_men_cost,google_ads_search_kids_cost,google_ads_display_only_cost,google_ads_search_brand_cost,google_ads_search_women_cost,google_ads_search_others_cost
2020-12-28,0,0,0,0,0,25587,3017,0,0,0,0,28104.1,0,0,0,0,73.27,0,0,696.29,0,0,754.17
2021-01-04,0,0,0,0,0,61443,6743,0,0,0,0,228256.3,0,0,0,0,263.44,0,0,878.88,0,0,1923.21
2021-01-11,0,0,0,0,0,51093,5145,0,0,0,0,134099.64,0,0,0,0,216.52,0,0,117.19,0,0,1763.01
2021-01-18,0,0,0,0,0,61809,6587,0,0,0,0,97127.95,0,0,0,0,0,0,0,0,0,0,1409.8
2021-01-25,0,0,0,0,0,61930,6838,0,0,0,0,80979.2,0,0,0,0,0,0,0,0,0,0,1043.07
2021-02-01,0,0,0,0,0,83435,11148,0,0,0,0,103039.47,0,0,0,0,0,0,0,0,0,0,1655.75
2021-02-08,0,0,0,0,0,163144,23382,0,0,0,0,107661.2,0,0,0,0,0,0.81,0,0,0,0.81,1750.1
2021-02-15,0,0,0,0,0,94703,11326,0,0,0,0,86107.44,0,0,0,0,0,0.26,0,0,0,0.26,2183.63
2021-02-22,0,0,0,0,0,58922,6925,0,0,0,0,94592.1,0,0,0,0,0,0,0,0,0,0,2271.52
2021-03-01,0,0,0,0,0,68428,6657,0,0,0,0,49676.95,0,0,0,0,0,1.49,0,0,0,1.49,1325.4
2021-03-08,0,0,0,0,0,260904,30433,0,0,0,0,68189.9,0,0,0,0,0,1.23,0,0,0,1.23,1363.73
2021-03-15,0,0,0,0,0,75532,7888,0,0,0,0,75732.9,0,0,0,0,0,1.47,0,0,0,1.47,1222.28
2021-03-22,0,0,0,0,0,81960,7268,0,0,0,0,53817.88,0,0,0,0,0,0.58,0,0,0,0.58,467.15
2021-03-29,0,0,0,0,0,84176,7664,0,0,0,0,74686.9,0,0,0,0,0,11.11,0,0,0,11.11,978.43
2021-04-05,0,0,0,0,0,85417,6825,0,0,0,0,57068.39,0,0,0,0,0,3.94,0,0,0,3.94,1041.39
2021-04-12,0,0,0,0,0,135990,13704,0,0,0,0,57507.85,0,0,0,0,0,2.38,0,0,0,2.38,1153.98
2021-04-19,0,0,0,0,0,182536,14604,0,0,0,0,61664.9,0,0,0,0,0,4.58,0,0,0,4.58,1198.88
2021-04-26,0,0,0,0,0,300195,23268,0,0,0,0,45921.05,0,0,0,0,0,0.26,0,0,0,0.26,103.57
2021-05-03,0,0,0,0,0,362506,25454,0,0,0,0,49537.64,0,0,0,0,0,6.96,0,0,0,6.96,1157.23
2021-05-10,0,0,0,0,0,230844,14033,0,0,0,0,51914.35,0,0,0,0,0,7.99,0,0,0,7.99,1527.8
2021-05-17,0,0,0,0,0,236243,12849,0,0,0,0,32813.05,0,0,0,0,0,2.3,0,0,0,2.3,1405.22
2021-05-24,0,0,0,0,0,212452,11807,0,0,0,0,33878.45,0,0,0,0,0,4.27,0,0,0,4.27,1369.82
2021-05-31,0,0,0,0,0,176819,9405,0,0,0,0,40731.48,0,0,0,0,0,4.53,0,0,0,4.53,1511.57
2021-06-07,0,0,0,0,0,83013,5749,0,0,0,0,40888.7,0,0,0,0,0,3.33,0,0,0,3.33,1477.66
2021-06-14,0,0,0,0,0,59817,5277,0,0,0,0,55156.4,0,0,0,0,0,11,0,0,0,11,1720.67
2021-06-21,0,0,0,0,0,62142,5213,0,0,0,0,58800.67,0,0,0,0,0,0.03,0,0,0,0.03,1623.32
2021-06-28,0,0,0,0,0,59311,5873,0,0,0,0,65412.68,0,0,0,0,0,0,0,0,0,0,1620.01
2021-07-05,0,0,0,0,0,65799,6150,0,0,0,0,99414.1,0,0,0,0,0,0,0,0,0,0,1639.35
2021-07-12,0,0,0,0,0,59745,5644,0,0,0,0,80512.6,0,0,0,0,0,0,0,0,0,0,1839.51
2021-07-19,0,0,0,0,0,63560,5357,0,0,0,0,92060.99,0,0,0,0,0,0,0,0,0,0,1796.96
2021-07-26,0,0,0,0,0,64475,5470,0,0,0,0,91947,0,0,0,0,0,0,0,0,0,0,2037.88
2021-08-02,0,0,0,0,0,62671,5320,0,0,0,0,161382.57,0,0,0,0,499.87,0,0,0,0,0,1796.58
2021-08-09,0,0,0,0,0,59544,5312,0,0,0,0,126437.5,0,0,0,0,718.27,0,0,0,0,0,1589.79
2021-08-16,0,0,0,0,0,57263,5327,0,0,0,0,109811.19,0,0,0,0,1185.26,0,0,0,0,0,1895.44
2021-08-23,0,0,0,0,0,64778,5743,0,0,0,0,97233.66,0,0,0,0,455.11,0,0,0,0,0,694.44
2021-08-30,0,0,0,0,0,73013,65858,0,0,0,0,54588.2,0,0,0,0,0,0,0,0,0,0,0
2021-09-06,0,0,0,0,0,84596,133825,0,0,0,0,50077.5,0,0,0,0,44.1,0,0,0,0,0,649.39
2021-09-13,0,0,0,0,0,77921,150276,0,0,0,0,40354.9,0,0,0,0,969.48,0,0,0,0,0,1051.34
2021-09-20,0,0,0,0,0,83063,141456,0,0,0,0,58141.8,0,0,0,0,1529.89,0,0,0,0,0,1350.64
2021-09-27,0,0,0,0,0,64992,108501,0,0,0,0,64115.8,0,0,0,0,1427.48,0,0,0,0,0,1229.57
2021-10-04,0,0,0,0,0,61812,5662,0,0,0,0,66007.8,0,0,0,0,1223.58,0,0,0,0,0,1956.04
2021-10-11,0,17018,0,0,0,63382,5599,0,0,0,0,66769.8,0,0,0,0,2192.74,0,0,0,0,0,3142.09
2021-10-18,0,290453,0,0,0,96259,9421,0,0,0,0,69251.9,0,0,0,0,3636.2,0,0,0,0,0,2427.16
2021-10-25,0,136153,0,0,0,75480,6832,0,0,116320,0,35902.1,0,0,0,0,1522.44,0,0,0,0,0,1832.43
2021-11-01,0,238974,0,0,0,57806,9558,0,0,0,0,42559.5,0,0,0,0,3995.73,0,0,0,0,0,1936.7
2021-11-08,0,237882,0,0,0,60862,9425,0,0,118920,0,37086,0,0,0,0,2744.45,570.08,64.38,0,406.07,130.96,1829.5
2021-11-15,0,0,0,0,0,77618,10126,0,0,91830,107370,87490,0.53,0,12196.66,0,10268.41,737.47,71.08,0,622.68,224.41,2995.5
2021-11-22,0,0,0,0,0,54504,8768,0,0,734105,0,294560.5,229.43,0,4008.14,0,15178.95,1429.32,114.46,0,927.17,262.57,7349.44
2021-11-29,0,292008,0,0,0,48803,5834,0,0,282797,0,140762.6,255.62,0,2095.48,0,4102.78,882.75,84.61,0,546.49,170.19,4328.05
2021-12-06,0,146084,0,0,0,50666,4544,0,0,146154,0,73127.1,251.13,0,2087.05,0,4400.13,1066.02,83.89,0,505.29,209.77,3441.76
2021-12-13,0,146355,0,0,0,49009,4433,0,0,188379,0,89954.79,352.33,0,2260.34,0,4162.98,816.68,60.43,0,547.52,189.03,2348.67
2021-12-20,0,0,0,0,0,49796,5614,0,0,198128,106530,50234.7,349.88,0,1700.04,0,3882.91,461.43,37.28,0,358.62,120.42,1607.61
2021-12-27,0,0,0,0,0,52009,4947,0,0,349145,0,39805.62,349.97,0,1519.35,0,2743.3,361.13,24.36,0,357.85,106.12,1469.43
2022-01-03,0,0,0,0,0,52174,4582,0,0,415598,0,109012.15,456.82,0,895.54,0,3871.94,584.44,75.18,0,500.15,138.26,1851.53
2022-01-10,0,0,0,0,0,48736,5035,0,0,425483,0,73283.61,355.65,0,330.97,0,3888.74,447.28,73.59,0,319.8,112.12,1317.48
2022-01-17,0,0,152782,0,0,68398,6286,0,0,489929,0,131683.31,321.76,0,37.26,0,1934.35,358.01,59.01,0,291.5,103.46,1194.7
2022-01-24,0,0,0,0,0,52487,4856,0,0,613078,0,100509.72,301.37,0,0,0,3798.4,408.32,58.43,0,366.29,104.34,1470.54
2022-01-31,0,0,0,0,0,55541,5009,0,0,306417,0,67467.38,269.38,0,0,0,2019.71,355.49,70.66,0,303.22,75.69,1085.1
2022-02-07,0,0,0,0,0,57791,7864,0,0,459407,0,59977.47,150.74,0,0,0,3719.64,300.4,67.66,0,267.91,80.78,903.86
2022-02-14,0,0,0,0,0,55219,9106,0,0,457444,152421,50862.34,174.58,0,0,0,2687.63,409.92,73.35,0,647.86,92.42,1267.01
2022-02-21,0,0,152324,0,0,14009,2372,0,0,303811,152337,51206.7,111.69,0,0,0,2145.99,254.98,54.13,1992.21,311.96,78.74,899.25
2022-02-28,0,0,0,0,0,7900,1204,0,0,292660,152270,42673.97,156.13,0,0,0,1092.56,225.96,32.45,3955.39,276.74,60.7,680.54
2022-03-07,0,33215,0,0,0,15348,3541,0,0,176599,105824,45714.2,374.62,0,0,0,2537.87,287.07,37.02,9085.1,275.38,70.97,649.89
2022-03-14,0,126564,0,0,0,0,0,0,0,70796,103888,49948.56,321.71,0,0,0,3045.25,283.74,29.9,0,124.57,78.84,1353.42
2022-03-21,0,80244,0,0,0,22945,3733,0,0,29001,103252,68574.79,279.92,0,0,0,4093.75,377.62,46.41,801.85,145.34,67.65,1727.89
2022-03-28,0,102772,0,0,0,17081,3499,0,0,78772,102129,71420.31,281.81,0,0,0,4091.88,411.7,43.07,1318.5,416.8,64.66,1741.06
