"","ds","dep_var","season","holiday","trend","events_events","sales_sales","criteo_cost","facebook_ads_brand_awareness_cost","facebook_ads_conversions_cost","facebook_ads_performance_engagement_cost","google_ads_display_only_cost","google_ads_search_brand_cost","google_ads_search_kids_cost","google_ads_search_men_cost","google_ads_search_others_cost","google_ads_search_women_cost","google_ads_shopping_cost","google_ads_video_cost","email_sales_events_delivered","emails_bau_performance_delivered","emails_campaigns_collab_delivered","emails_delivered","youtube_organic_impressions","intercept","depVarHat","solID","cluster","top_sol"
"1",2022-01-03,109012.15,44489.060298276,-3225.45338831902,12019.2399660692,0,0,0,0,6954.51337644882,0,0,2149.52710730098,771.435608918108,4392.74582560665,10922.4480897723,945.916112879695,13552.7286479925,0,15387.2372094356,0,0,69.3391659355431,0,0,108428.738020316,"3_623_8",1,TRUE
"2",2022-01-10,73283.61,55031.7314403648,0,12002.4823302884,0,0,0,0,4001.12614903585,0,0,862.471316240117,1500.1231254273,4097.20994228916,8778.99520187418,899.110425108884,13458.8880314544,0,16125.722250039,0,0,2.20405724647732,0,0,116760.064269369,"3_623_8",1,TRUE
"3",2022-01-17,131683.31,45052.0253539615,0,11985.7246945076,0,0,0,0,3074.29411018712,0,0,631.890146711787,1557.94627097368,3733.84059627019,7921.29158697246,834.651059242851,13038.2608245562,0,20858.5329228345,0,6475.12956612772,0.0385429515544082,0,0,115163.625675297,"3_623_8",1,TRUE
"4",2022-01-24,100509.72,25675.8810054109,0,11968.9670587268,0,0,0,0,2603.82251205581,0,0,1042.58586581889,1324.02371867815,3861.205063574,9168.05037326572,794.431447275146,13045.4667956484,0,30102.0993660935,0,6888.44219897016,0.000384087627187005,0,0,106474.975789605,"3_623_8",1,TRUE
"5",2022-01-31,67467.38,10401.2739778214,0,11952.2095461221,0,0,0,0,1977.13144589766,0,0,709.994043672917,1421.60849110742,3698.06418006347,7446.71588259677,685.644968922601,12722.5319866634,0,8441.36361494275,0,5277.38187282882,2.23425467154488e-06,0,0,64733.9200128736,"3_623_8",1,TRUE
"6",2022-02-07,59977.47,3490.68642576916,0,11935.4520335174,0,0,0,0,484.368068307876,0,0,516.288171050669,1575.2503372165,3450.19355635956,6278.15158852923,620.467760755221,12831.2348750451,0,18527.8714085619,0,2318.84993891639,7.73920645485658e-09,0,0,62028.8141640368,"3_623_8",1,TRUE
"7",2022-02-14,50862.34,286.893152395863,0,11918.6945209128,0,0,0,0,642.896745417899,0,0,3639.11824134819,1702.15279240164,3834.66944964283,8059.99151538313,633.561615872499,12734.0147435556,0,18468.6214607063,0,417.788859725075,1.62369995657199e-11,0,0,62338.4030973618,"3_623_8",1,TRUE
"8",2022-02-21,51206.7,-4126.25009874575,0,11901.9370083081,0,0,0,0,220.078367503067,0,3.99052623827961,887.479598146855,1468.00140453693,3285.29275506812,6352.91693047533,612.044654846192,12502.6934668115,0,8225.10231154743,0,6471.34361933521,2.09402726069468e-14,0,0,47804.6305440713,"3_623_8",1,TRUE
"9",2022-02-28,42673.97,-9048.40362075502,0,11885.1794957034,0,0,0,0,476.308606742356,0,227.45838629144,559.414419056336,830.463043204563,3033.87383245327,4899.05231234186,527.408164386662,11974.5936674457,0,7537.72488327662,0,6884.65739880453,1.6818439467739e-17,0,0,39787.7305889518,"3_623_8",1,TRUE
"10",2022-03-07,45714.2,-10573.3868802143,0,11868.4226787183,0,0,0,0,4177.54779442252,0,3287.87525805851,539.536234574819,492.747823568641,3302.91744025962,4579.04057750683,499.306482751808,11949.9395382946,0,2471.97503113309,0,5273.75681834845,117.778993522214,0,0,37987.4577909452,"3_623_8",1,TRUE
"11",2022-03-14,49948.56,-7512.45649737015,0,11851.6658617332,0,0,0,0,3090.59958982508,0,13134.5530138889,92.6370828909352,363.97025889298,3328.81453629294,8348.64715693773,525.066047821654,12165.1560402667,0,298.711798437464,0,2316.67198507125,3165.50861847233,0,0,51169.5454931611,"3_623_8",1,TRUE
"12",2022-03-21,68574.79,-3193.81208946659,0,11834.9090447481,0,0,0,0,2183.12104143825,0,20996.3270598077,106.446685097267,461.06696869526,3708.39922253747,10361.2136920211,512.126190434091,12635.6536824935,0,36.5281602587398,0,417.328742949689,4692.45066990037,0,0,64751.759070915,"3_623_8",1,TRUE
"13",2022-03-28,71420.31,-1737.28412909179,0,11818.152227763,0,0,0,0,2186.4840574724,0,23431.76866396,1306.80456489165,598.642901731592,3879.70194003103,10581.9579354291,483.685988343558,12978.8412590932,0,369.724080333869,0,28.5378297897435,5535.99795495096,0,0,71463.0152746984,"3_623_8",1,TRUE
"14",2022-04-04,75851.03,-3962.30801278153,0,11801.3954107779,0,0,0,1428.92325447972,1775.90812513569,0,21822.2518226428,1738.81781409091,894.983728253393,4237.29154882774,12107.785761682,586.453857053046,13383.6301362282,0,5029.68300918109,0,0.741156244096868,2509.14988117697,0,0,73354.707492992,"3_623_8",1,TRUE
"15",2022-04-11,69018.53,-7493.09749951422,2659.5295373072,11784.6393943244,0,0,0,2539.31707834651,1555.12578417283,0,15954.9260972549,2458.6083200707,1499.25033113323,4255.63251920431,10622.8006401187,672.653530128283,13291.5121830855,0,4154.08536840076,0,0.0067918132460794,398.97637921437,0,0,64353.9664550606,"3_623_8",1,TRUE
"16",2022-04-18,46979.28,-9994.98344372913,614.55054538661,11767.8833778709,0,0,0,3723.29049041727,2287.56141016359,0,8463.1861709027,1532.87127012903,1636.64510883396,4333.82841440266,10780.3455741975,718.694154941474,12515.6246122867,0,1571.4541082436,0,1.9983115802457e-05,25.9647022601463,0,0,49976.91651629,"3_623_8",1,TRUE
"17",2022-04-25,39929.52,-11296.6074332175,-5726.36998677245,11751.1273614173,0,0,0,4812.1203958293,2878.32163233369,0,4787.60616513035,3671.25363172412,2173.44372856264,4284.71817447401,9233.38306374927,761.289933100564,11513.7440088694,0,4258.08760671306,0,1.71922288000004e-08,0.856120332393399,0,0,43102.9744022634,"3_623_8",1,TRUE
"18",2022-05-02,39493.51,-12529.3366809149,0,11734.3713449638,0,0,0,5310.15497018067,2869.37619363396,0,4082.71346061171,3279.83609054824,2215.54697009489,4340.89376335609,9362.89294918056,727.038404963379,10438.2412060565,0,4773.02476906285,0,3.94910642569552e-12,0.015401780969044,0,0,46604.7688435188,"3_623_8",1,TRUE
"19",2022-05-09,51258.68,-14277.3330204229,0,11717.6153285103,0,0,0,5701.00605402473,2897.2637033555,0,3949.36542974311,731.71843113954,1317.98090887304,4195.74209837963,7784.5710289374,612.690927890322,9905.12834608945,0,0.0497620537326804,0,2.21676142503467e-16,4518.7457035821,0,0,39054.5447021559,"3_623_8",1,TRUE
"20",2022-05-16,38260.79,-16163.5171072631,0,11702.7736922553,0,0,0,5981.27765074036,2803.088305324,0,3361.15243471519,349.902777962088,659.004965542394,3651.98608772927,7794.33779048616,505.089758369254,9760.34462339824,0,6604.71597985754,0,2.78939087248729e-21,6380.03444153338,0,0,43390.19140065,"3_623_8",1,TRUE
"21",2022-05-23,31113.52,-17700.7188507417,0,11687.9320560003,0,0,0,6679.10997882415,2870.09949182636,0,2373.85641078848,343.084686398778,295.029323169543,3502.4408741445,8275.26462054094,401.759468954957,9000.00656819991,0,8162.92748000492,0,7.2321297327315e-27,3211.77418183049,0,0,39102.5662899415,"3_623_8",1,TRUE
"22",2022-05-30,30682.07,-18705.0401076862,1520.82592249989,11673.0904197452,0,0,0,7529.44217193702,2896.36496939971,0,1509.30194309058,131.178102293087,161.029212065671,3250.68634302641,9704.16247484717,301.230627299684,9975.94653445283,1671.86963510448,566.469955272413,0,3.55788241611967e-33,3241.15032461444,0,0,35427.7085279624,"3_623_8",1,TRUE
"23",2022-06-06,24650.71,-18841.6036192767,0,11658.2487834902,0,0,0,8080.23550749179,2461.12561694975,0,1019.13222348366,146.000456912813,103.507290452249,3238.05304554554,7322.6810152745,186.163922171612,10242.9718361851,3803.24784630747,2219.09107082971,0,3.063577149982e-40,1253.08207792959,0,0,32891.9370737473,"3_623_8",1,TRUE
"24",2022-06-13,36885.67,-17465.3322446019,0,11643.4071472351,0,0,0,8089.09347565428,2855.64992040166,0,734.385794346874,212.023723688133,44.7321923111524,3283.53236036868,5593.78058552192,182.737522334841,9990.02144891403,5365.20522919123,4321.98616069229,0,4.26584519804827e-48,195.269932374422,0,0,35046.4932484328,"3_623_8",1,TRUE
"25",2022-06-20,38532.49,-14311.9587211611,0,11629.0260906258,0,0,0,7682.46133244084,3699.31240386861,0,480.524686422295,1471.52259850976,74.1917567159498,3714.63681183681,14436.2244226527,146.110980789406,10350.7248129164,6198.82991770294,2675.19920993764,0,8.88752639512591e-57,13.6738140577204,0,0,48260.4801173157,"3_623_8",1,TRUE
"26",2022-06-27,45480.26,-9953.30322380584,0,11614.6450340164,0,0,0,7218.88369164754,3091.80731784639,0,273.49866266629,839.995232203849,120.16264040296,3412.26453674588,10781.0868459327,147.511052118351,10543.2750784021,6365.62943404298,4903.45052610071,0,2.56687831121847e-66,0.486202257688383,0,0,49359.393030578,"3_623_8",1,TRUE
"27",2022-07-04,46726.58,-5078.9391358921,0,11600.263977407,0,0,0,7182.80378158808,2721.70325942578,0,129.689127590878,565.626211625114,90.8881166086967,3297.4774846607,6296.50731660634,181.068210954472,10716.5448336947,5855.21719567643,2508.16368424011,0,9.53401788161992e-77,0.00930309596806751,0,0,46067.0233672821,"3_623_8",1,TRUE
"28",2022-07-11,54130.17,411.19461619717,0,11585.8829207976,0,0,0,7180.27705493196,2746.33806028998,0,41.046056743044,911.471118724541,69.5411072578716,3211.43937735603,7941.3824637306,190.288995332963,11045.3878259405,4595.0744646248,6952.64485924242,0,4.22964484695464e-88,9.93725530140063e-05,0,0,56881.969020542,"3_623_8",1,TRUE
"29",2022-07-18,103301.78,6844.18270292888,0,11571.5018641882,0,0,0,6995.85597252953,2718.05594833884,0,6.49057664240103,909.497782341474,104.769909748027,3445.7549721989,8550.31694086638,267.92068360847,11572.5087238125,2755.22241533478,7144.60321575596,0,2.08392204802289e-100,6.09936395162383e-07,0,0,62886.6817089043,"3_623_8",1,TRUE
